t,MV,PV,DV
1.673000000000000000e+03,1.379791538101589765e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.674000000000000000e+03,1.379814436133452027e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.675000000000000000e+03,1.368833549516076609e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.676000000000000000e+03,1.368800890109598178e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.677000000000000000e+03,1.405454207169755598e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.678000000000000000e+03,1.390942698630796670e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.679000000000000000e+03,1.416709458786167808e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.680000000000000000e+03,1.391252740392488008e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.681000000000000000e+03,1.439032691067439274e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.682000000000000000e+03,1.417362535801474976e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.683000000000000000e+03,1.417589391788819597e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.684000000000000000e+03,1.370125241955513573e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.685000000000000000e+03,1.359095064535491737e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.686000000000000000e+03,1.359011705388887847e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.687000000000000000e+03,1.369934444832219000e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.688000000000000000e+03,1.406596019569948908e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.689000000000000000e+03,1.381087405020406855e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.690000000000000000e+03,1.381124605065632949e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.691000000000000000e+03,1.417847315679358822e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.692000000000000000e+03,1.440090656146567483e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.693000000000000000e+03,1.407424007373128383e+01,4.190999999999999659e+01,6.000000000000000000e+01
